,Date,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5,Open,High,Low,Close,Adj Close,Volume,^SP500-25Adj_Close,PLNTAdj_Close,XPOFAdj_Close,RSI
192,2022-07-20,LTH,129.6004,144.8534,43.7407,1.0845,1.1027,0.1528,0.3742,-0.264,0.0437,-0.3077,-0.0706,0.1465,-0.2171,1.1419,2.7802,95.2106,13.90999984741211,14.5,13.850000381469727,14.5,14.5,182000,1195.3499755859375,79.44000244140625,14.130000114440918,89.23767621595638
193,2022-07-21,LTH,115.4543,136.8836,44.6776,1.0368,1.1191,0.3079,0.4748,-0.2245,0.0665,-0.291,0.0051,0.1777,-0.1727,2.2848,3.4788,74.148,14.460000038146973,14.479999542236328,14.079999923706055,14.380000114440918,14.380000114440918,118600,1222.2099609375,79.7699966430664,13.880000114440918,94.31280070689425
194,2022-07-22,LTH,71.4513,92.372,19.396,1.041,1.0257,0.3669,0.3949,-0.2043,0.0694,-0.2737,0.03,0.1622,-0.1321,2.7125,2.8718,12.898,14.390000343322754,14.600000381469727,13.710000038146973,13.949999809265137,13.949999809265137,149900,1214.1800537109375,79.38999938964844,13.25,71.64948250892964
195,2022-07-25,LTH,48.6444,70.1456,5.0792,1.1012,1.0995,0.4149,0.2826,-0.1825,0.073,-0.2554,0.0564,0.1508,-0.0944,3.0554,2.0392,-75.0487,14.039999961853027,14.109999656677246,13.770000457763672,14.039999961853027,14.039999961853027,140400,1203.8800048828125,77.5,12.979999542236328,67.26189935558875
196,2022-07-26,LTH,14.3367,31.7284,-22.426,1.0451,0.9884,0.3794,0.1005,-0.1756,0.0639,-0.2395,0.0477,0.1137,-0.066,2.7897,0.7245,-128.2619,14.050000190734863,14.050000190734863,13.460000038146973,13.680000305175781,13.680000305175781,143500,1164.0899658203125,76.52999877929688,12.430000305175781,40.13160701602925
197,2022-07-27,LTH,60.7866,95.7945,26.4609,1.1224,1.043,0.3911,0.0447,-0.1461,0.0747,-0.2208,0.0907,0.1253,-0.0347,2.8581,0.319,47.3454,13.880000114440918,14.350000381469727,13.850000381469727,14.3100004196167,14.3100004196167,217100,1208.9100341796875,78.11000061035156,13.4399995803833,44.171792421975695
198,2022-07-28,LTH,117.9767,134.5622,66.6001,1.1663,1.0728,0.4101,0.0722,-0.1092,0.0893,-0.1985,0.1456,0.1442,0.0014,2.9745,0.5107,142.3819,14.489999771118164,14.675000190734863,14.3100004196167,14.59000015258789,14.59000015258789,207700,1229.0699462890625,79.91999816894531,14.350000381469727,55.865922978277
199,2022-07-29,LTH,91.2208,109.3005,58.1073,1.106,1.0646,0.3931,0.11,-0.0793,0.0953,-0.1746,0.1798,0.1427,0.0371,2.8331,0.7727,70.7097,14.510000228881836,14.5600004196167,14.239999771118164,14.5,14.5,168800,1281.510009765625,78.80999755859375,14.84000015258789,68.96552631319327
200,2022-08-01,LTH,96.3079,115.0069,65.6199,1.0929,1.018,0.396,0.1682,-0.0448,0.1039,-0.1487,0.2213,0.1473,0.0739,2.8337,1.1728,60.2855,14.329999923706055,14.729999542236328,14.079999923706055,14.710000038146973,14.710000038146973,170700,1288.0699462890625,78.87000274658203,14.640000343322754,71.33758619516675
201,2022-08-02,LTH,135.0709,133.1019,89.0602,1.0622,1.0792,0.4185,0.2256,-0.0089,0.1119,-0.1207,0.2624,0.1508,0.1116,2.9715,1.5619,127.4038,14.460000038146973,14.90999984741211,14.460000038146973,14.850000381469727,14.850000381469727,152500,1279.010009765625,79.0,15.260000228881836,93.3333239143304
