,time,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5
4168,2010-07-13,ETD,142.4929,-48.6839,-96.5247,0.949,0.8771,-0.2698,0.1638,-0.7984,-0.0652,-0.7332,-0.6424,0.063,-0.7053,-3.2893,2.0727,133.7947
4169,2010-07-12,ETD,-8.0356,-85.4525,-121.2421,0.8637,0.772,-0.435,0.0346,-0.812,-0.0952,-0.7168,-0.715,0.006,-0.7211,-5.2867,0.4432,51.8699
4170,2010-07-09,ETD,-5.3798,-85.6517,-121.3237,0.9188,0.7382,-0.5296,-0.032,-0.8002,-0.1071,-0.693,-0.7359,-0.0134,-0.7226,-6.3631,-0.4072,108.48
4171,2010-07-08,ETD,-40.3257,-108.539,-136.973,0.8495,0.7317,-0.6453,-0.1658,-0.7955,-0.1292,-0.6663,-0.7797,-0.0605,-0.7192,-7.6823,-2.11,70.5788
4172,2010-07-07,ETD,-76.8351,-142.8243,-157.1705,0.8588,0.7251,-0.7199,-0.3046,-0.7822,-0.1482,-0.634,-0.8104,-0.1063,-0.7041,-8.4726,-3.8482,-46.5212
4173,2010-07-06,ETD,-111.5425,-174.3239,-174.9867,0.7643,0.6213,-0.7553,-0.4334,-0.759,-0.1621,-0.5969,-0.8233,-0.1457,-0.6775,-8.7684,-5.4039,-144.4348
4174,2010-07-02,ETD,-102.8593,-159.3964,-164.2918,0.8117,0.6586,-0.655,-0.3842,-0.7031,-0.1467,-0.5564,-0.759,-0.1179,-0.6411,-7.4377,-4.6365,-74.8162
4175,2010-07-01,ETD,-130.7833,-164.0205,-169.6292,0.8268,0.7127,-0.6021,-0.3676,-0.6619,-0.1423,-0.5197,-0.7255,-0.1138,-0.6116,-6.7243,-4.3343,-77.0459
4176,2010-06-30,ETD,-167.9877,-163.1096,-172.1348,0.8205,0.7141,-0.5463,-0.3471,-0.6208,-0.1367,-0.4841,-0.6899,-0.1068,-0.5832,-6.0029,-4.0021,-95.9949
4177,2010-06-29,ETD,-201.2544,-161.73,-173.5209,0.7929,0.7121,-0.4684,-0.273,-0.5751,-0.1251,-0.4499,-0.6403,-0.0839,-0.5565,-5.0607,-3.0723,-166.6667
